Zone,Sector,Scenario,Lever,CO2_2015,CO2_2040,CO2_2050,Contrib_2015_2040_abs,Contrib_2040_2050_abs,Contrib_2015_2050_abs,Contrib_2015_2040_pct,Contrib_2040_2050_pct,Contrib_2015_2050_pct
EU,Buildings - Residential,EU Commission Fit-for-55,Total,598.0324185250304,92.1108444715334,-8.553930557693993,-505.921574053497,-100.66477502922739,-606.5863490827244,-100.0,-100.0,-100.0
EU,Buildings - Residential,EU Commission Fit-for-55,Population,,,,-1.2182541275930163,-0.28781493423228965,-1.5060690618253059,-0.2407990072121724,-0.2859142477085201,-0.24828601304707448
EU,Buildings - Residential,EU Commission Fit-for-55,Sufficiency,,,,52.771903813312946,2.0028913918026037,54.77479520511555,10.430846700309475,1.9896645983871486,9.030007893838299
EU,Buildings - Residential,EU Commission Fit-for-55,Energy Efficiency,,,,-181.44097622937107,-5.348386296745646,-186.78936252611672,-35.86345898943325,-5.3130663583093245,-30.79353216711492
EU,Buildings - Residential,EU Commission Fit-for-55,Supply Side Decarbonation,,,,-376.03424750984584,-97.03146519005207,-473.0657126998979,-74.32658870366404,-96.39068399236932,-77.9881897136763
EU,Buildings - Residential,EU Commission >85% Decrease by 2040,Total,598.0324185250304,44.36462833538213,-8.941834318564556,-553.6677901896483,-53.30646265394668,-606.974252843595,-100.0,-100.0,-100.0
EU,Buildings - Residential,EU Commission >85% Decrease by 2040,Population,,,,-0.9587885985620918,-0.22614679320351344,-1.1849353917656051,-0.17317037681272324,-0.42423897956164625,-0.19522004207169213
EU,Buildings - Residential,EU Commission >85% Decrease by 2040,Sufficiency,,,,41.532467286269565,1.573745527136253,43.10621281340582,7.501333475086823,2.952260286623496,7.101818999975509
EU,Buildings - Residential,EU Commission >85% Decrease by 2040,Energy Efficiency,,,,-146.61807931534636,-3.5020997629903228,-150.1201790783367,-26.4812369282174,-6.569747059986236,-24.732544811422112
EU,Buildings - Residential,EU Commission >85% Decrease by 2040,Supply Side Decarbonation,,,,-447.62338956200944,-51.1519616248891,-498.77535118689855,-80.8469261700567,-95.95827424707562,-82.17405414648171
EU,Buildings - Residential,EU Commission >90% Decrease by 2040,Total,598.0324185250304,29.053056296569487,-8.94762218555469,-568.9793622284609,-38.00067848212418,-606.9800407105851,-100.0,-100.0,-100.0
EU,Buildings - Residential,EU Commission >90% Decrease by 2040,Population,,,,-0.8473983808044657,-0.21924801367200666,-1.0666463944764724,-0.1489330610315198,-0.5769581555633083,-0.17573006078218995
EU,Buildings - Residential,EU Commission >90% Decrease by 2040,Sufficiency,,,,36.70730501174191,1.525737225640518,38.23304223738243,6.451429954853602,4.015026274749902,6.298896120640707
EU,Buildings - Residential,EU Commission >90% Decrease by 2040,Energy Efficiency,,,,-133.20803713038515,-3.116390189567391,-136.32442731995255,-23.411751984933762,-8.200880389631374,-22.459458001346963
EU,Buildings - Residential,EU Commission >90% Decrease by 2040,Supply Side Decarbonation,,,,-471.6312317290134,-36.19077750452529,-507.82200923353867,-82.89074490888837,-95.2371877295552,-83.66370805851159
EU,Buildings - Residential,EU Commission LIFE Scenario,Total,598.0324185250304,44.818745518918085,1.0449133999395972,-553.2136730061123,-43.77383211897849,-596.9875051250908,-100.0,-100.0,-100.0
EU,Buildings - Residential,EU Commission LIFE Scenario,Population,,,,-0.9617676252266439,-0.07913525245952449,-1.0409028776861684,-0.17385102215577697,-0.18078209886772692,-0.17435924014323564
